日期,批发价
2023-05-01 00:00:00,0.02249916045779152
2023-05-02 00:00:00,0.022473141101130696
2023-05-03 00:00:00,0.022467571004553325
2023-05-04 00:00:00,0.022460362534595095
2023-05-05 00:00:00,0.02246415273904132
2023-05-06 00:00:00,0.022453700890837782
2023-05-07 00:00:00,0.02244820991229026
2023-05-08 00:00:00,0.02244115687381771
2023-05-09 00:00:00,0.022438661846970354
2023-05-10 00:00:00,0.022432018007356336
2023-05-11 00:00:00,0.022426690381260512
2023-05-12 00:00:00,0.02242045234099243
2023-05-13 00:00:00,0.02241587800606472
2023-05-14 00:00:00,0.022410125083612637
2023-05-15 00:00:00,0.022404778622548808
2023-05-16 00:00:00,0.022399007446291905
2023-05-17 00:00:00,0.022393798624512296
2023-05-18 00:00:00,0.022388254824770193
2023-05-19 00:00:00,0.022382855301167157
2023-05-20 00:00:00,0.02237728181831788
2023-05-21 00:00:00,0.022371889389139813
2023-05-22 00:00:00,0.022366399143023546
2023-05-23 00:00:00,0.022360963835983558
2023-05-24 00:00:00,0.022355463116778038
2023-05-25 00:00:00,0.022350019065327697
2023-05-26 00:00:00,0.022344545047807637
2023-05-27 00:00:00,0.02233909215823642
2023-05-28 00:00:00,0.022333616085470062
2023-05-29 00:00:00,0.02232815755479927
2023-05-30 00:00:00,0.0223226893271682
2023-05-31 00:00:00,0.02231722906145953
