销售日期,单品编码,销量(千克)
2020-07-01,102900011001219,39.676
2020-08-01,102900011001219,29.222
2020-09-01,102900011001219,20.706
2020-10-01,102900011001219,20.213
2020-11-01,102900011001219,19.047
2020-12-01,102900011001219,30.969
2021-01-01,102900011001219,31.348
2021-02-01,102900011001219,10.659
2021-03-01,102900011001219,1.242
2021-04-01,102900011001219,0.0
2021-05-01,102900011001219,0.538
2021-06-01,102900011001219,0.17
2021-07-01,102900011001219,0.53
2021-08-01,102900011001219,7.748
2021-09-01,102900011001219,16.504
2021-10-01,102900011001219,0.3219999999999999
2021-11-01,102900011001219,0.0
2021-12-01,102900011001219,0.158
2022-01-01,102900011001219,11.205
2022-02-01,102900011001219,0.254
2022-03-01,102900011001219,0.49
2022-04-01,102900011001219,0.237
2022-05-01,102900011001219,0.0
2022-06-01,102900011001219,0.0
2022-07-01,102900011001219,0.0
2022-08-01,102900011001219,0.0
2022-09-01,102900011001219,0.0
2022-10-01,102900011001219,0.0
2022-11-01,102900011001219,0.0
2022-12-01,102900011001219,0.0
2023-01-01,102900011001219,14.294
2023-02-01,102900011001219,10.101
2023-03-01,102900011001219,9.099
2023-04-01,102900011001219,3.88
2023-05-01,102900011001219,0.0
2023-06-01,102900011001219,0.0
