销售日期,单品编码,销量(千克)
2020-07-01,102900005116219,2.263
2020-08-01,102900005116219,14.171
2020-09-01,102900005116219,0.0
2020-10-01,102900005116219,0.0
2020-11-01,102900005116219,0.0
2020-12-01,102900005116219,0.0
2021-01-01,102900005116219,0.0
2021-02-01,102900005116219,2.847
2021-03-01,102900005116219,0.435
2021-04-01,102900005116219,0.0
2021-05-01,102900005116219,18.761
2021-06-01,102900005116219,53.776
2021-07-01,102900005116219,52.041
2021-08-01,102900005116219,6.62
2021-09-01,102900005116219,0.188
2021-10-01,102900005116219,34.711
2021-11-01,102900005116219,3.742
2021-12-01,102900005116219,4.922
2022-01-01,102900005116219,61.931
2022-02-01,102900005116219,54.103
2022-03-01,102900005116219,23.443
2022-04-01,102900005116219,18.127
2022-05-01,102900005116219,30.823
2022-06-01,102900005116219,32.99
2022-07-01,102900005116219,23.105
2022-08-01,102900005116219,0.0
2022-09-01,102900005116219,0.0
2022-10-01,102900005116219,0.0
2022-11-01,102900005116219,0.0
2022-12-01,102900005116219,0.0
2023-01-01,102900005116219,0.192
2023-02-01,102900005116219,0.0
2023-03-01,102900005116219,0.0
2023-04-01,102900005116219,0.376
2023-05-01,102900005116219,0.0
2023-06-01,102900005116219,0.0
