价格（元）,销售重量（kg）
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
45.850754,0.0
58.816666,0.0
61.844337,0.0
62.049347,0.0
62.086716,0.0
62.783356,0.0
63.402637,0.0
63.724792,0.0
63.75304,0.0
64.182205,0.0
64.6,0.0
65.94069,0.0
66.09286,0.0
66.6,0.0
66.937965,0.0
67.13337,0.0
67.32097,0.0
68.0,0.0
68.167076,0.0
68.564964,0.0
68.591354,0.0
69.0,0.0
69.0062,0.0
69.03243,0.0
69.1,0.0
69.252884,0.0
69.476,0.0
69.86417,0.0
70.17497,0.0
70.557655,0.0
70.73779,0.0
70.8,0.0
71.05552,0.0
71.11568,0.0
71.1875,0.0
71.33816,0.0
71.73333,0.0
71.89565,0.0
71.94,0.0
72.0,0.0
72.5,0.0
72.63373,0.0
72.765434,0.0
73.171425,0.0
73.18769,0.0
73.35752,0.0
73.69529,0.0
73.789474,0.0
74.0,0.0
74.166794,0.0
74.2475,0.0
74.43,0.0
74.528786,0.0
74.53357,0.0
74.705124,0.0
74.99973,0.0
75.0625,0.0
75.3,0.0
75.4,0.0
75.642235,0.0
75.74048,0.0
75.87345,0.0
76.7,0.0
77.019485,0.0
77.066666,0.0
77.17136,0.0
77.284615,0.0
77.535706,0.0
77.84762,0.0
77.9,0.0
78.0,0.0
78.0,0.0
78.0,0.0
78.0,0.0
78.06062,0.0
78.11597,0.0
78.8,0.0
79.1,0.0
79.36931,0.0
79.41333,0.0
79.46064,0.0
79.6,0.0
79.738464,13.36121075684259
79.89677,13.36121075684259
79.9,13.36121075684259
79.92399,13.36121075684259
80.0,13.36121075684259
80.276955,13.36121075684259
80.3,13.36121075684259
80.3,13.36121075684259
80.36667,13.36121075684259
81.0,13.36121075684259
81.0,13.36121075684259
81.43081,13.36121075684259
81.5,13.36121075684259
81.96799,13.36121075684259
82.16,13.36121075684259
82.26667,13.36121075684259
82.3,13.36121075684259
82.41428,13.36121075684259
82.5,13.36121075684259
82.8,13.36121075684259
83.0,13.36121075684259
83.14769,13.36121075684259
83.16303,13.36121075684259
83.2,13.36121075684259
83.5,13.36121075684259
83.6,13.36121075684259
83.6,13.36121075684259
83.9,13.36121075684259
83.99378,13.36121075684259
84.03173,13.36121075684259
84.2,13.36121075684259
84.35358,13.36121075684259
84.8,13.36121075684259
84.8,13.36121075684259
85.025,13.36121075684259
85.12,13.36121075684259
