价格（元）,销售重量（kg）
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
10.9,0.0
13.1,0.0
13.8,0.0
22.523077,0.0
22.8,0.0
22.8,0.0
22.8,0.0
22.8,0.0
22.9,0.0
23.893847,0.0
23.9,0.0
24.352055,0.0
24.4,0.0
24.4,0.0
24.4,0.0
24.45,0.0
24.7,0.0
24.7,0.0
24.72,0.0
24.8,0.0
24.8,0.0
24.8,0.0
24.8,0.0
24.8,0.0
24.8,0.0
25.28,0.0
25.5,0.0
25.8,0.0
25.8,0.0
25.8,0.0
26.173737,0.0
26.4,0.0
26.4,0.0
26.457144,0.0
26.50909,0.0
26.525,0.0
26.6,0.0
26.6,0.0
26.6,0.0
26.6,0.0
26.6,0.0
26.6,0.0
26.7,0.0
26.77143,0.0
26.78,0.0
26.8,0.0
26.8,0.0
26.813158,0.0
26.825,0.0
26.9,0.0
26.9,0.0
26.953846,0.0
27.06087,0.0
27.2,0.0
27.44375,0.0
27.5,0.0
27.6,0.0
27.673334,0.0
27.8,0.0
28.6,0.0
28.6,0.0
28.6,0.0
28.7,0.0
28.7,0.0
28.7,0.0
28.7,0.0
28.7,0.0
28.754465,0.0
28.77807,0.0
28.786922,0.0
28.8,0.0
28.8,0.0
28.8,0.0
28.8,0.0
28.863333,0.0
28.906195,0.0
29.2,0.0
29.3,0.0
29.4,0.0
29.694595,0.0
29.7,0.0
29.72,0.0
29.8,6.28422458804988
29.879366,6.28422458804988
30.045454,6.28422458804988
30.190908,6.28422458804988
30.266666,6.28422458804988
30.3,6.28422458804988
30.5,6.28422458804988
30.54,6.28422458804988
30.761818,6.28422458804988
30.8,6.28422458804988
30.813044,6.28422458804988
31.023777,6.28422458804988
31.05,6.28422458804988
31.236364,6.28422458804988
31.26,6.28422458804988
31.325926,6.28422458804988
31.3875,6.28422458804988
31.430769,6.28422458804988
31.44,6.28422458804988
31.5,6.28422458804988
31.5,6.28422458804988
31.5,6.28422458804988
31.5,6.28422458804988
31.736065,6.28422458804988
31.76,6.28422458804988
31.864706,6.28422458804988
31.94,6.28422458804988
32.19441,6.28422458804988
32.3,6.28422458804988
32.3,6.28422458804988
32.37076,6.28422458804988
32.5,6.28422458804988
32.6,6.28422458804988
32.6,6.28422458804988
32.6,6.28422458804988
32.6,6.28422458804988
32.7,6.28422458804988
32.91143,6.28422458804988
33.006668,6.28422458804988
