价格（元）,销售重量（kg）
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
7.0,0.0
7.0,0.0
7.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.0,0.0
8.6,0.0
9.2,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
11.0,0.0
11.0,0.0
11.0,0.0
11.879637,0.0
11.960606,0.0
12.0,0.0
12.0,0.0
12.0,0.0
12.0,0.0
12.0,0.0
12.0,0.0
12.0,1.9246492929783288
12.0,1.9246492929783288
12.0,1.9246492929783288
13.0,1.9246492929783288
13.0,1.9246492929783288
13.2,1.9246492929783288
13.2,1.9246492929783288
13.2,1.9246492929783288
13.75,1.9246492929783288
13.961538,1.9246492929783288
13.990909,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
14.0,1.9246492929783288
15.0,1.9246492929783288
15.0,1.9246492929783288
15.0,1.9246492929783288
15.0,1.9246492929783288
15.6,1.9246492929783288
15.6,1.9246492929783288
15.6,1.9246492929783288
15.6,1.9246492929783288
15.6,1.9246492929783288
15.6,1.9246492929783288
16.0,1.9246492929783288
16.0,1.9246492929783288
16.0,1.9246492929783288
16.0,1.9246492929783288
16.0,1.9246492929783288
16.0,1.9246492929783288
16.0,1.9246492929783288
