日期,value
2020-07-01,0.010922494991597963
2020-07-02,0.010331771201103105
2020-07-03,0.008927592762886802
2020-07-04,0.01357519848101873
2020-07-05,0.008161693235619544
2020-07-06,0.009462421918235405
2020-07-07,0.00883240224813316
2020-07-08,0.011085672348071379
2020-07-09,0.011788588130057068
2020-07-10,0.011812732939533806
2020-07-11,0.012042192087001838
2020-07-12,0.011948991595627756
2020-07-13,0.011125494519259387
2020-07-14,0.01078103789806119
2020-07-15,0.009053313716101559
2020-07-16,0.010834322944271451
2020-07-17,0.009207768337713775
2020-07-18,0.012413115018033402
2020-07-19,0.01185849951892425
2020-07-20,0.008983798759905785
2020-07-21,0.011689911058739991
2020-07-22,0.009403288676906521
2020-07-23,0.010731949741270608
2020-07-24,0.008876426282445735
2020-07-25,0.015289562606370622
2020-07-26,0.013237450602353219
2020-07-27,0.011347012854435111
2020-07-28,0.010844964674125346
2020-07-29,0.008368521148008708
2020-07-30,0.008113240657130733
2020-07-31,0.010396273409093507
2020-08-01,0.012235607744055415
2020-08-02,0.012959535272085673
2020-08-03,0.013476734513771552
2020-08-04,0.011265574368739109
2020-08-05,0.013552461385095438
2020-08-06,0.012568153914702325
2020-08-07,0.0128880045367258
2020-08-08,0.014290585298251009
2020-08-09,0.012886631999767665
2020-08-10,0.012644250677771958
2020-08-11,0.013011740405392607
2020-08-12,0.01240857841997872
2020-08-13,0.010681886144404351
2020-08-14,0.012832773546739713
2020-08-15,0.013143651653027761
2020-08-16,0.011356288375828192
2020-08-17,0.010582562894755029
2020-08-18,0.010313039384126553
2020-08-19,0.010078469091859023
2020-08-20,0.007344410847666084
2020-08-21,0.011772797649523652
2020-08-22,0.012891276810677022
2020-08-23,0.014858018308804496
2020-08-24,0.013059719821933345
2020-08-25,0.0077077565342818415
2020-08-26,0.01244338158956732
2020-08-27,0.010617409118009569
2020-08-28,0.011493058985053114
2020-08-29,0.015794885718148678
2020-08-30,0.013164148923744668
2020-08-31,0.011067624556164226
2020-09-01,0.01092161083122212
2020-09-02,0.008732911429435584
2020-09-03,0.007746107307143836
2020-09-04,0.009750462241547823
2020-09-05,0.010520582654601068
2020-09-06,0.01166937034945706
2020-09-07,0.010278665469587531
