,日期,销售单价(元/千克)
0,2020-07-01,136.98103448275862
1,2020-07-02,132.20239121712805
2,2020-07-03,133.67546157234972
3,2020-07-04,106.39077380952381
4,2020-07-05,95.77652094282529
5,2020-07-06,116.46098039215687
6,2020-07-07,128.39287634408603
7,2020-07-08,136.0719414893617
8,2020-07-09,127.55
9,2020-07-10,129.00378159029069
10,2020-07-11,124.99623371544145
11,2020-07-12,124.95344500581638
12,2020-07-13,101.83572664126231
13,2020-07-14,102.533970359905
14,2020-07-15,85.56462560478737
15,2020-07-16,102.23020617582195
16,2020-07-17,106.74183959105528
17,2020-07-18,98.07021636567544
18,2020-07-19,91.19557899377095
19,2020-07-20,90.78657081743121
20,2020-07-21,97.25824137078982
21,2020-07-22,97.74497340856966
22,2020-07-23,100.35322341657226
23,2020-07-24,90.12901861539294
24,2020-07-25,101.04006719368422
25,2020-07-26,102.42733628025567
26,2020-07-27,97.22981539171427
27,2020-07-28,103.80441891013913
28,2020-07-29,96.69721679361302
29,2020-07-30,89.53562193961494
30,2020-07-31,107.33333333333333
31,2020-08-01,115.6693803786961
32,2020-08-02,161.97292421066007
33,2020-08-03,155.925
34,2020-08-04,153.4777777777778
35,2020-08-05,170.4
36,2020-08-06,150.6945427121898
37,2020-08-07,158.28452380952382
38,2020-08-08,149.72059620596207
39,2020-08-09,147.12597402597402
40,2020-08-10,131.81666666666666
41,2020-08-11,121.5428431217905
42,2020-08-12,121.45871710526316
43,2020-08-13,110.95555555555555
44,2020-08-14,123.07622377622377
45,2020-08-15,116.5
46,2020-08-16,96.1
47,2020-08-17,93.87435897435897
48,2020-08-18,92.5
49,2020-08-19,96.5
50,2020-08-20,96.9
51,2020-08-21,96.13076923076923
52,2020-08-22,102.42777777777778
53,2020-08-23,97.36595744680851
54,2020-08-24,111.9
55,2020-08-25,105.38418300653595
56,2020-08-26,108.42727272727274
57,2020-08-27,110.9
58,2020-08-28,103.9
59,2020-08-29,104.9
60,2020-08-30,96.33157894736843
61,2020-08-31,112.7
62,2020-09-01,95.81764705882352
63,2020-09-02,108.7
64,2020-09-03,101.24277335567659
65,2020-09-04,107.5
66,2020-09-05,114.325
67,2020-09-06,118.75964912280702
68,2020-09-07,117.96666666666667
69,2020-09-08,122.03419913419913
70,2020-09-09,118.20909090909092
71,2020-09-10,101.4
72,2020-09-11,103.9
73,2020-09-12,113.325
74,2020-09-13,98.6
75,2020-09-14,121.25714285714285
76,2020-09-15,112.7
77,2020-09-16,125.5
78,2020-09-17,135.5
79,2020-09-18,122.1
80,2020-09-19,106.06470588235294
81,2020-09-20,122.1
82,2020-09-21,104.5
83,2020-09-22,121.5
84,2020-09-23,111.9
85,2020-09-24,132.5
86,2020-09-25,168.1
87,2020-09-26,143.89310344827587
88,2020-09-27,154.1
89,2020-09-28,132.42592592592592
90,2020-09-29,136.85
91,2020-09-30,133.58647450110865
92,2020-10-01,129.09259259259258
93,2020-10-02,130.1
94,2020-10-03,119.0
95,2020-10-04,100.8
96,2020-10-05,117.8
97,2020-10-06,132.8
98,2020-10-07,126.7
99,2020-10-08,126.8
100,2020-10-09,115.8
101,2020-10-10,131.8
102,2020-10-11,124.35555555555555
103,2020-10-12,111.8
104,2020-10-13,119.01702127659574
105,2020-10-14,102.8
106,2020-10-15,109.60952380952381
107,2020-10-16,116.175
108,2020-10-17,142.13333333333333
109,2020-10-18,138.93333333333334
110,2020-10-19,135.8
111,2020-10-20,137.9
112,2020-10-21,123.5
113,2020-10-22,136.5
114,2020-10-23,127.00638297872341
115,2020-10-24,120.9
116,2020-10-25,134.1
117,2020-10-26,144.9
118,2020-10-27,140.9
119,2020-10-28,136.1
120,2020-10-29,134.1
121,2020-10-30,138.1
122,2020-10-31,115.5
123,2020-11-01,123.1
124,2020-11-02,105.34
125,2020-11-03,105.84865853658536
126,2020-11-04,94.5
127,2020-11-05,104.5
128,2020-11-06,104.5
129,2020-11-07,99.1
130,2020-11-08,108.3
131,2020-11-09,115.1
132,2020-11-10,105.5
133,2020-11-11,147.7
134,2020-11-12,150.3
135,2020-11-13,97.00588235294117
136,2020-11-14,160.29999999999998
137,2020-11-15,150.29999999999998
138,2020-11-16,145.7
139,2020-11-17,135.0
140,2020-11-18,148.0
141,2020-11-19,139.0
142,2020-11-20,92.0
143,2020-11-21,156.79999999999998
144,2020-11-22,152.2
145,2020-11-23,96.1
146,2020-11-24,80.3
147,2020-11-25,100.9
148,2020-11-26,93.67010897768552
149,2020-11-27,107.5
150,2020-11-28,171.29999999999998
151,2020-11-29,170.7
152,2020-11-30,103.1
153,2020-12-01,83.5
154,2020-12-02,97.10000000000001
155,2020-12-03,109.24736842105263
156,2020-12-04,107.75714285714287
157,2020-12-05,111.7
158,2020-12-06,111.9
159,2020-12-07,123.3
160,2020-12-08,96.1
161,2020-12-09,81.5
162,2020-12-10,75.3
163,2020-12-11,88.9
164,2020-12-12,107.1
165,2020-12-13,109.5
166,2020-12-14,104.76363636363637
167,2020-12-15,92.3
168,2020-12-16,95.04545454545455
169,2020-12-17,95.9
170,2020-12-18,109.73783783783784
171,2020-12-19,109.34615384615384
172,2020-12-20,117.5
173,2020-12-21,102.63333333333333
174,2020-12-22,97.10434782608696
175,2020-12-23,102.78888888888889
176,2020-12-24,104.5
177,2020-12-25,100.5
178,2020-12-26,99.3
179,2020-12-27,95.9
180,2020-12-28,95.8
181,2020-12-29,99.3
182,2020-12-30,107.7
183,2020-12-31,106.58
184,2021-01-01,101.7
185,2021-01-02,103.1
186,2021-01-03,101.6263157894737
187,2021-01-04,103.1
188,2021-01-05,101.9
189,2021-01-06,109.9
190,2021-01-07,110.87894736842105
191,2021-01-08,114.1
192,2021-01-09,108.1
193,2021-01-10,109.1
194,2021-01-11,93.3
195,2021-01-12,82.41428571428571
196,2021-01-13,98.7
197,2021-01-14,97.5
198,2021-01-15,102.5
199,2021-01-16,105.9
200,2021-01-17,115.9
201,2021-01-18,167.3
202,2021-01-19,138.9
203,2021-01-20,133.87272727272727
204,2021-01-21,132.01111111111112
205,2021-01-22,149.9
206,2021-01-23,136.28620689655173
207,2021-01-24,133.82542372881358
208,2021-01-25,137.3
209,2021-01-26,138.3
210,2021-01-27,125.8
211,2021-01-28,115.8
212,2021-01-29,131.8
213,2021-01-30,120.5140625
214,2021-01-31,110.6
215,2021-02-01,122.2
216,2021-02-02,138.2
217,2021-02-03,114.26153846153846
218,2021-02-04,111.8
219,2021-02-05,149.8
220,2021-02-06,149.8
221,2021-02-07,142.8
222,2021-02-08,163.6
223,2021-02-09,149.8
224,2021-02-10,158.6
225,2021-02-11,0.0
226,2021-02-12,0.0
227,2021-02-13,128.6
228,2021-02-14,121.73085503318802
229,2021-02-15,87.4
230,2021-02-16,96.7
231,2021-02-17,112.3
232,2021-02-18,119.3
233,2021-02-19,112.10000000000001
234,2021-02-20,115.7
235,2021-02-21,88.3
236,2021-02-22,106.1
237,2021-02-23,166.9
238,2021-02-24,177.89999999999998
239,2021-02-25,138.3
240,2021-02-26,165.7
241,2021-02-27,114.10000000000001
242,2021-02-28,106.5
243,2021-03-01,191.3
244,2021-03-02,178.9
245,2021-03-03,165.29999999999998
246,2021-03-04,151.1
247,2021-03-05,162.5
248,2021-03-06,205.1
249,2021-03-07,219.77142857142857
250,2021-03-08,229.0
251,2021-03-09,253.5
252,2021-03-10,231.1
253,2021-03-11,227.7
254,2021-03-12,221.5
255,2021-03-13,273.5
256,2021-03-14,221.5
257,2021-03-15,196.9
258,2021-03-16,218.7
259,2021-03-17,231.3
260,2021-03-18,205.5
261,2021-03-19,198.7
262,2021-03-20,195.5
263,2021-03-21,213.5
264,2021-03-22,228.2764705882353
265,2021-03-23,215.9
266,2021-03-24,198.3
267,2021-03-25,154.78571428571428
268,2021-03-26,181.52592592592592
269,2021-03-27,214.24285714285713
270,2021-03-28,221.7
271,2021-03-29,208.7
272,2021-03-30,177.3
273,2021-03-31,191.5
274,2021-04-01,205.63333333333333
275,2021-04-02,243.48461538461538
276,2021-04-03,233.5
277,2021-04-04,193.9
278,2021-04-05,216.8
279,2021-04-06,187.25
280,2021-04-07,191.76666666666665
281,2021-04-08,241.08947368421053
282,2021-04-09,219.91904761904763
283,2021-04-10,195.5
284,2021-04-11,170.7
285,2021-04-12,151.5
286,2021-04-13,153.5
287,2021-04-14,200.9
288,2021-04-15,179.3
289,2021-04-16,182.55882352941177
290,2021-04-17,171.7
291,2021-04-18,174.9
292,2021-04-19,151.7
293,2021-04-20,142.25966386554623
294,2021-04-21,125.1
295,2021-04-22,117.3
296,2021-04-23,106.34084507042253
297,2021-04-24,163.7
298,2021-04-25,146.7
299,2021-04-26,146.7
300,2021-04-27,149.8
301,2021-04-28,146.5
302,2021-04-29,152.73529411764707
303,2021-04-30,147.9
304,2021-05-01,137.5
305,2021-05-02,136.3
306,2021-05-03,139.9
307,2021-05-04,137.9
308,2021-05-05,139.36274509803923
309,2021-05-06,139.0391304347826
310,2021-05-07,127.5
311,2021-05-08,117.1
312,2021-05-09,131.9
313,2021-05-10,89.3
314,2021-05-11,88.67058823529412
315,2021-05-12,143.1
316,2021-05-13,89.75714285714285
317,2021-05-14,114.9
318,2021-05-15,103.9
319,2021-05-16,79.9
320,2021-05-17,103.5
321,2021-05-18,109.61428571428571
322,2021-05-19,85.9
323,2021-05-20,109.6
324,2021-05-21,85.775
325,2021-05-22,103.9
326,2021-05-23,82.3
327,2021-05-24,100.3
328,2021-05-25,92.3
