单品编码,日期,销售单价(元/千克)
102900011000328,2020-07-01,0
102900011000328,2020-07-02,10.0
102900011000328,2020-07-03,10.0
102900011000328,2020-07-04,13.976470588235294
102900011000328,2020-07-05,13.991111111111111
102900011000328,2020-07-06,14.0
102900011000328,2020-07-07,14.0
102900011000328,2020-07-08,13.483870967741936
102900011000328,2020-07-09,14.0
102900011000328,2020-07-10,11.96935483870968
102900011000328,2020-07-11,11.88018018018018
102900011000328,2020-07-12,11.708333333333334
102900011000328,2020-07-13,9.89375
102900011000328,2020-07-14,9.961538461538462
102900011000328,2020-07-15,10.0
102900011000328,2020-07-16,9.619607843137254
102900011000328,2020-07-17,9.763636363636364
102900011000328,2020-07-18,9.691304347826089
102900011000328,2020-07-19,8.952631578947368
102900011000328,2020-07-20,8.878461538461538
102900011000328,2020-07-21,8.917948717948718
102900011000328,2020-07-22,7.918556701030928
102900011000328,2020-07-23,7.937142857142858
102900011000328,2020-07-24,7.921739130434782
102900011000328,2020-07-25,7.877142857142857
102900011000328,2020-07-26,7.918181818181818
102900011000328,2020-07-27,8.0
102900011000328,2020-07-28,7.967741935483871
102900011000328,2020-07-29,7.827500000000001
102900011000328,2020-07-30,7.894444444444444
102900011000328,2020-07-31,8.0
102900011000328,2020-08-01,7.944444444444445
102900011000328,2020-08-02,8.0
102900011000328,2020-08-03,8.0
102900011000328,2020-08-04,8.0
102900011000328,2020-08-05,8.0
102900011000328,2020-08-06,8.0
102900011000328,2020-08-07,8.0
102900011000328,2020-08-08,8.0
102900011000328,2020-08-09,8.0
102900011000328,2020-08-10,8.0
102900011000328,2020-08-11,8.0
102900011000328,2020-08-12,8.0
102900011000328,2020-08-13,8.0
102900011000328,2020-08-14,8.0
102900011000328,2020-08-15,8.0
102900011000328,2020-08-16,8.0
102900011000328,2020-08-17,8.0
102900011000328,2020-08-18,8.0
102900011000328,2020-08-19,8.0
102900011000328,2020-08-20,9.0
102900011000328,2020-08-21,8.0
102900011000328,2020-08-22,8.0
102900011000328,2020-08-23,8.0
102900011000328,2020-08-24,8.0
102900011000328,2020-08-25,8.0
102900011000328,2020-08-26,8.0
102900011000328,2020-08-27,8.0
102900011000328,2020-08-28,8.0
102900011000328,2020-08-29,8.0
102900011000328,2020-08-30,8.0
102900011000328,2020-08-31,9.0
102900011000328,2020-09-01,9.0
102900011000328,2020-09-02,9.0
102900011000328,2020-09-03,9.0
102900011000328,2020-09-04,9.0
102900011000328,2020-09-05,10.0
102900011000328,2020-09-06,10.0
102900011000328,2020-09-07,10.0
102900011000328,2020-09-08,10.0
102900011000328,2020-09-09,10.0
102900011000328,2020-09-10,10.0
102900011000328,2020-09-11,10.0
102900011000328,2020-09-12,11.0
102900011000328,2020-09-13,11.0
102900011000328,2020-09-14,11.0
102900011000328,2020-09-15,11.0
102900011000328,2020-09-16,10.0
102900011000328,2020-09-17,11.0
102900011000328,2020-09-18,11.0
102900011000328,2020-09-19,11.0
102900011000328,2020-09-20,12.0
102900011000328,2020-09-21,12.0
102900011000328,2020-09-22,12.0
102900011000328,2020-09-23,12.0
102900011000328,2020-09-24,12.0
102900011000328,2020-09-25,12.0
102900011000328,2020-09-26,12.0
102900011000328,2020-09-27,12.0
102900011000328,2020-09-28,10.0
102900011000328,2020-09-29,12.0
102900011000328,2020-09-30,12.0
102900011000328,2020-10-01,10.0
102900011000328,2020-10-02,10.0
102900011000328,2020-10-03,12.0
102900011000328,2020-10-04,12.0
102900011000328,2020-10-05,12.0
102900011000328,2020-10-06,12.0
102900011000328,2020-10-07,12.0
102900011000328,2020-10-08,12.0
102900011000328,2020-10-09,12.0
102900011000328,2020-10-10,12.0
102900011000328,2020-10-11,12.0
102900011000328,2020-10-12,12.0
102900011000328,2020-10-13,12.0
102900011000328,2020-10-14,12.0
102900011000328,2020-10-15,14.0
102900011000328,2020-10-16,14.0
102900011000328,2020-10-17,14.0
102900011000328,2020-10-18,14.0
102900011000328,2020-10-19,14.0
102900011000328,2020-10-20,14.0
102900011000328,2020-10-21,14.0
102900011000328,2020-10-22,14.0
102900011000328,2020-10-23,14.0
102900011000328,2020-10-24,14.0
102900011000328,2020-10-25,14.0
102900011000328,2020-10-26,14.0
102900011000328,2020-10-27,14.0
102900011000328,2020-10-28,16.0
102900011000328,2020-10-29,16.0
102900011000328,2020-10-30,16.0
102900011000328,2020-10-31,16.0
102900011000328,2020-11-01,16.0
102900011000328,2020-11-02,16.0
102900011000328,2020-11-03,16.0
102900011000328,2020-11-04,16.0
102900011000328,2020-11-05,16.0
102900011000328,2020-11-06,16.0
102900011000328,2020-11-07,16.0
102900011000328,2020-11-08,16.0
102900011000328,2020-11-09,16.0
102900011000328,2020-11-10,18.0
102900011000328,2020-11-11,16.0
102900011000328,2020-11-12,16.0
102900011000328,2020-11-13,16.0
102900011000328,2020-11-14,16.0
102900011000328,2020-11-15,16.0
102900011000328,2020-11-16,16.0
102900011000328,2020-11-17,16.0
102900011000328,2020-11-18,16.0
102900011000328,2020-11-19,16.0
102900011000328,2020-11-20,16.0
102900011000328,2020-11-21,16.0
102900011000328,2020-11-22,16.0
102900011000328,2020-11-23,16.0
102900011000328,2020-11-24,16.0
102900011000328,2020-11-25,14.0
102900011000328,2020-11-26,16.0
102900011000328,2020-11-27,16.0
102900011000328,2020-11-28,16.0
102900011000328,2020-11-29,16.0
102900011000328,2020-11-30,16.0
102900011000328,2020-12-01,16.0
102900011000328,2020-12-02,16.0
